Date,Day_of_Week,Item,Category,Produced_Qty,Sold_Qty,Waste_Qty,Price_Per_Unit,Revenue,Waste_Loss,Expiry_Days
2023-10-01,Sunday,Bread,Bakery,142,129,13,30,3870,390,1
2023-10-01,Sunday,Cake,Bakery,61,54,7,350,18900,2450,2
2023-10-01,Sunday,Pastry,Bakery,88,66,22,60,3960,1320,1
2023-10-01,Sunday,Sandwich,FastFood,132,109,23,90,9810,2070,1
2023-10-01,Sunday,Burger,FastFood,119,99,20,120,11880,2400,1
2023-10-01,Sunday,Pizza Slice,FastFood,81,63,18,150,9450,2700,1
2023-10-01,Sunday,Muffin,Bakery,114,104,10,50,5200,500,2
2023-10-01,Sunday,Donut,Bakery,80,71,9,45,3195,405,2
2023-10-01,Sunday,Cookies,Bakery,161,161,0,20,3220,0,7
2023-10-01,Sunday,Brownie,Bakery,83,79,4,70,5530,280,3
2023-10-01,Sunday,Roll,FastFood,112,92,20,80,7360,1600,1
2023-10-01,Sunday,Samosa,FastFood,229,217,12,25,5425,300,1
2023-10-01,Sunday,Puff,FastFood,152,149,3,35,5215,105,2
2023-10-01,Sunday,Bun,Bakery,179,166,13,20,3320,260,1
2023-10-01,Sunday,Garlic Bread,Bakery,62,48,14,110,5280,1540,2
2023-10-01,Sunday,Cold Coffee,Beverage,81,72,9,140,10080,1260,1
2023-10-01,Sunday,Tea,Beverage,301,296,5,20,5920,100,0
2023-10-01,Sunday,Juice,Beverage,131,124,7,60,7440,420,1
2023-10-01,Sunday,Wrap,FastFood,79,69,10,130,8970,1300,1
2023-10-01,Sunday,Croissant,Bakery,60,54,6,80,4320,480,2
2023-10-02,Monday,Bread,Bakery,136,126,10,30,3780,300,1
2023-10-02,Monday,Cake,Bakery,34,26,8,350,9100,2800,2
2023-10-02,Monday,Pastry,Bakery,83,65,18,60,3900,1080,1
2023-10-02,Monday,Sandwich,FastFood,95,73,22,90,6570,1980,1
2023-10-02,Monday,Burger,FastFood,85,70,15,120,8400,1800,1
2023-10-02,Monday,Pizza Slice,FastFood,83,61,22,150,9150,3300,1
2023-10-02,Monday,Muffin,Bakery,88,75,13,50,3750,650,2
2023-10-02,Monday,Donut,Bakery,66,53,13,45,2385,585,2
2023-10-02,Monday,Cookies,Bakery,150,148,2,20,2960,40,7
2023-10-02,Monday,Brownie,Bakery,72,72,0,70,5040,0,3
2023-10-02,Monday,Roll,FastFood,113,93,20,80,7440,1600,1
2023-10-02,Monday,Samosa,FastFood,202,195,7,25,4875,175,1
2023-10-02,Monday,Puff,FastFood,139,133,6,35,4655,210,2
2023-10-02,Monday,Bun,Bakery,137,131,6,20,2620,120,1
2023-10-02,Monday,Garlic Bread,Bakery,60,55,5,110,6050,550,2
2023-10-02,Monday,Cold Coffee,Beverage,73,51,22,140,7140,3080,1
2023-10-02,Monday,Tea,Beverage,291,278,13,20,5560,260,0
2023-10-02,Monday,Juice,Beverage,101,88,13,60,5280,780,1
2023-10-02,Monday,Wrap,FastFood,65,44,21,130,5720,2730,1
2023-10-02,Monday,Croissant,Bakery,67,57,10,80,4560,800,2
2023-10-03,Tuesday,Bread,Bakery,122,109,13,30,3270,390,1
2023-10-03,Tuesday,Cake,Bakery,32,20,12,350,7000,4200,2
2023-10-03,Tuesday,Pastry,Bakery,76,54,22,60,3240,1320,1
2023-10-03,Tuesday,Sandwich,FastFood,115,91,24,90,8190,2160,1
2023-10-03,Tuesday,Burger,FastFood,82,73,9,120,8760,1080,1
2023-10-03,Tuesday,Pizza Slice,FastFood,80,62,18,150,9300,2700,1
2023-10-03,Tuesday,Muffin,Bakery,104,97,7,50,4850,350,2
2023-10-03,Tuesday,Donut,Bakery,61,51,10,45,2295,450,2
2023-10-03,Tuesday,Cookies,Bakery,139,138,1,20,2760,20,7
2023-10-03,Tuesday,Brownie,Bakery,49,44,5,70,3080,350,3
2023-10-03,Tuesday,Roll,FastFood,99,85,14,80,6800,1120,1
2023-10-03,Tuesday,Samosa,FastFood,212,197,15,25,4925,375,1
2023-10-03,Tuesday,Puff,FastFood,120,108,12,35,3780,420,2
2023-10-03,Tuesday,Bun,Bakery,142,133,9,20,2660,180,1
2023-10-03,Tuesday,Garlic Bread,Bakery,78,65,13,110,7150,1430,2
2023-10-03,Tuesday,Cold Coffee,Beverage,61,48,13,140,6720,1820,1
2023-10-03,Tuesday,Tea,Beverage,273,260,13,20,5200,260,0
2023-10-03,Tuesday,Juice,Beverage,97,80,17,60,4800,1020,1
2023-10-03,Tuesday,Wrap,FastFood,76,54,22,130,7020,2860,1
2023-10-03,Tuesday,Croissant,Bakery,42,38,4,80,3040,320,2
2023-10-04,Wednesday,Bread,Bakery,116,98,18,30,2940,540,1
2023-10-04,Wednesday,Cake,Bakery,34,31,3,350,10850,1050,2
2023-10-04,Wednesday,Pastry,Bakery,93,83,10,60,4980,600,1
2023-10-04,Wednesday,Sandwich,FastFood,102,80,22,90,7200,1980,1
2023-10-04,Wednesday,Burger,FastFood,84,77,7,120,9240,840,1
2023-10-04,Wednesday,Pizza Slice,FastFood,86,77,9,150,11550,1350,1
2023-10-04,Wednesday,Muffin,Bakery,87,78,9,50,3900,450,2
2023-10-04,Wednesday,Donut,Bakery,68,62,6,45,2790,270,2
2023-10-04,Wednesday,Cookies,Bakery,148,146,2,20,2920,40,7
2023-10-04,Wednesday,Brownie,Bakery,49,43,6,70,3010,420,3
2023-10-04,Wednesday,Roll,FastFood,108,100,8,80,8000,640,1
2023-10-04,Wednesday,Samosa,FastFood,189,180,9,25,4500,225,1
2023-10-04,Wednesday,Puff,FastFood,134,127,7,35,4445,245,2
2023-10-04,Wednesday,Bun,Bakery,142,118,24,20,2360,480,1
2023-10-04,Wednesday,Garlic Bread,Bakery,70,66,4,110,7260,440,2
2023-10-04,Wednesday,Cold Coffee,Beverage,41,19,22,140,2660,3080,1
2023-10-04,Wednesday,Tea,Beverage,262,255,7,20,5100,140,0
2023-10-04,Wednesday,Juice,Beverage,103,79,24,60,4740,1440,1
2023-10-04,Wednesday,Wrap,FastFood,82,73,9,130,9490,1170,1
2023-10-04,Wednesday,Croissant,Bakery,57,52,5,80,4160,400,2
2023-10-05,Thursday,Bread,Bakery,129,110,19,30,3300,570,1
2023-10-05,Thursday,Cake,Bakery,58,50,8,350,17500,2800,2
2023-10-05,Thursday,Pastry,Bakery,74,64,10,60,3840,600,1
2023-10-05,Thursday,Sandwich,FastFood,103,91,12,90,8190,1080,1
2023-10-05,Thursday,Burger,FastFood,108,94,14,120,11280,1680,1
2023-10-05,Thursday,Pizza Slice,FastFood,88,82,6,150,12300,900,1
2023-10-05,Thursday,Muffin,Bakery,70,59,11,50,2950,550,2
2023-10-05,Thursday,Donut,Bakery,70,56,14,45,2520,630,2
2023-10-05,Thursday,Cookies,Bakery,148,143,5,20,2860,100,7
2023-10-05,Thursday,Brownie,Bakery,68,63,5,70,4410,350,3
2023-10-05,Thursday,Roll,FastFood,99,91,8,80,7280,640,1
2023-10-05,Thursday,Samosa,FastFood,191,184,7,25,4600,175,1
2023-10-05,Thursday,Puff,FastFood,126,117,9,35,4095,315,2
2023-10-05,Thursday,Bun,Bakery,133,123,10,20,2460,200,1
2023-10-05,Thursday,Garlic Bread,Bakery,63,53,10,110,5830,1100,2
2023-10-05,Thursday,Cold Coffee,Beverage,47,39,8,140,5460,1120,1
2023-10-05,Thursday,Tea,Beverage,279,271,8,20,5420,160,0
2023-10-05,Thursday,Juice,Beverage,99,84,15,60,5040,900,1
2023-10-05,Thursday,Wrap,FastFood,70,53,17,130,6890,2210,1
2023-10-05,Thursday,Croissant,Bakery,50,46,4,80,3680,320,2
2023-10-06,Friday,Bread,Bakery,115,110,5,30,3300,150,1
2023-10-06,Friday,Cake,Bakery,42,29,13,350,10150,4550,2
2023-10-06,Friday,Pastry,Bakery,67,47,20,60,2820,1200,1
2023-10-06,Friday,Sandwich,FastFood,85,76,9,90,6840,810,1
2023-10-06,Friday,Burger,FastFood,106,87,19,120,10440,2280,1
2023-10-06,Friday,Pizza Slice,FastFood,81,74,7,150,11100,1050,1
2023-10-06,Friday,Muffin,Bakery,91,86,5,50,4300,250,2
2023-10-06,Friday,Donut,Bakery,81,67,14,45,3015,630,2
2023-10-06,Friday,Cookies,Bakery,148,141,7,20,2820,140,7
2023-10-06,Friday,Brownie,Bakery,51,45,6,70,3150,420,3
2023-10-06,Friday,Roll,FastFood,97,73,24,80,5840,1920,1
2023-10-06,Friday,Samosa,FastFood,196,182,14,25,4550,350,1
2023-10-06,Friday,Puff,FastFood,131,118,13,35,4130,455,2
2023-10-06,Friday,Bun,Bakery,134,119,15,20,2380,300,1
2023-10-06,Friday,Garlic Bread,Bakery,70,63,7,110,6930,770,2
2023-10-06,Friday,Cold Coffee,Beverage,52,36,16,140,5040,2240,1
2023-10-06,Friday,Tea,Beverage,293,283,10,20,5660,200,0
2023-10-06,Friday,Juice,Beverage,129,123,6,60,7380,360,1
2023-10-06,Friday,Wrap,FastFood,89,83,6,130,10790,780,1
2023-10-06,Friday,Croissant,Bakery,43,40,3,80,3200,240,2
2023-10-07,Saturday,Bread,Bakery,135,125,10,30,3750,300,1
2023-10-07,Saturday,Cake,Bakery,54,50,4,350,17500,1400,2
2023-10-07,Saturday,Pastry,Bakery,84,72,12,60,4320,720,1
2023-10-07,Saturday,Sandwich,FastFood,103,96,7,90,8640,630,1
2023-10-07,Saturday,Burger,FastFood,105,96,9,120,11520,1080,1
2023-10-07,Saturday,Pizza Slice,FastFood,74,57,17,150,8550,2550,1
2023-10-07,Saturday,Muffin,Bakery,102,91,11,50,4550,550,2
2023-10-07,Saturday,Donut,Bakery,102,96,6,45,4320,270,2
2023-10-07,Saturday,Cookies,Bakery,173,172,1,20,3440,20,7
2023-10-07,Saturday,Brownie,Bakery,63,58,5,70,4060,350,3
2023-10-07,Saturday,Roll,FastFood,109,87,22,80,6960,1760,1
2023-10-07,Saturday,Samosa,FastFood,240,219,21,25,5475,525,1
2023-10-07,Saturday,Puff,FastFood,167,160,7,35,5600,245,2
2023-10-07,Saturday,Bun,Bakery,176,152,24,20,3040,480,1
2023-10-07,Saturday,Garlic Bread,Bakery,77,65,12,110,7150,1320,2
2023-10-07,Saturday,Cold Coffee,Beverage,54,31,23,140,4340,3220,1
2023-10-07,Saturday,Tea,Beverage,319,310,9,20,6200,180,0
2023-10-07,Saturday,Juice,Beverage,136,131,5,60,7860,300,1
2023-10-07,Saturday,Wrap,FastFood,78,59,19,130,7670,2470,1
2023-10-07,Saturday,Croissant,Bakery,68,54,14,80,4320,1120,2
2023-10-08,Sunday,Bread,Bakery,139,121,18,30,3630,540,1
2023-10-08,Sunday,Cake,Bakery,52,39,13,350,13650,4550,2
2023-10-08,Sunday,Pastry,Bakery,103,89,14,60,5340,840,1
2023-10-08,Sunday,Sandwich,FastFood,133,119,14,90,10710,1260,1
2023-10-08,Sunday,Burger,FastFood,120,96,24,120,11520,2880,1
2023-10-08,Sunday,Pizza Slice,FastFood,88,71,17,150,10650,2550,1
2023-10-08,Sunday,Muffin,Bakery,96,83,13,50,4150,650,2
2023-10-08,Sunday,Donut,Bakery,86,74,12,45,3330,540,2
2023-10-08,Sunday,Cookies,Bakery,170,169,1,20,3380,20,7
2023-10-08,Sunday,Brownie,Bakery,69,68,1,70,4760,70,3
2023-10-08,Sunday,Roll,FastFood,114,106,8,80,8480,640,1
2023-10-08,Sunday,Samosa,FastFood,246,237,9,25,5925,225,1
2023-10-08,Sunday,Puff,FastFood,136,122,14,35,4270,490,2
2023-10-08,Sunday,Bun,Bakery,167,146,21,20,2920,420,1
2023-10-08,Sunday,Garlic Bread,Bakery,81,73,8,110,8030,880,2
2023-10-08,Sunday,Cold Coffee,Beverage,70,46,24,140,6440,3360,1
2023-10-08,Sunday,Tea,Beverage,326,312,14,20,6240,280,0
2023-10-08,Sunday,Juice,Beverage,142,129,13,60,7740,780,1
2023-10-08,Sunday,Wrap,FastFood,89,75,14,130,9750,1820,1
2023-10-08,Sunday,Croissant,Bakery,62,54,8,80,4320,640,2
2023-10-09,Monday,Bread,Bakery,115,108,7,30,3240,210,1
2023-10-09,Monday,Cake,Bakery,55,45,10,350,15750,3500,2
